Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Mekarjaya,-7.423386883561782,109.24269341721606,84908000.0,9170000.0,Rendah,1000,Sedang,4000
Papa Cookies,-7.423386883561782,109.24739721832462,42466000.0,12268000.0,Rendah,1000,Sedang,4000
Picko Baby Shop,-7.423324080140205,109.24526587976116,115611000.0,8876000.0,Sedang,2000,Rendah,3000
Pusat ACC,-7.423189735730958,109.25478594722397,321320000.0,4056000.0,Tinggi,3000,Rendah,3000
Puti Solo,-7.422798290700946,109.25106089325377,70138000.0,9264000.0,Rendah,1000,Rendah,3000
Ramona,-7.422329985334436,109.24943081143974,94051000.0,11980000.0,Rendah,1000,Sedang,4000
Sohun,-7.4243301010296,109.2548810601689,57648000.0,1446000.0,Rendah,1000,Rendah,3000
Toko Cat Karman,-7.422850275867706,109.2446378421262,116145000.0,6966000.0,Sedang,2000,Rendah,3000
Toko Emas Puas,-7.426267584974467,109.24871361114744,115369000.0,2410000.0,Sedang,2000,Rendah,3000
Toko Ragil,-7.428384882067599,109.2544457161838,203357000.0,5126000.0,Tinggi,3000,Rendah,3000
Ummi Collection,-7.421877861519761,109.24965714859438,256857000.0,9470000.0,Tinggi,3000,Rendah,3000
