Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Soto Kwali Kartasuro,-7.428101943486146,109.22574404722394,85368500.0,7821000.0,Rendah,1000,Rendah,3000
RM Ayam Penyet Surabaya,-7.430671205714348,109.22429028997144,138360000.0,25024000.0,Sedang,2000,Tinggi,5000
Bakso Muncul Lagi,-7.436404431632948,109.22087287976116,163025000.0,8209000.0,Sedang,2000,Rendah,3000
RM Sambel Blethok,-7.428845715269023,109.22608810859698,248757500.0,26434000.0,Tinggi,3000,Tinggi,5000
Alfamart Pahlawan,-7.436273354373284,109.22086767791046,391046000.0,24630000.0,Tinggi,3000,Tinggi,5000
Jegur,-7.435262686194,109.22143630620847,82725000.0,2028000.0,Rendah,1000,Rendah,3000
Toko Hasil,-7.424952738260363,109.23260472699886,55344000.0,16030000.0,Rendah,1000,Sedang,4000
LBC,-7.42584108340286,109.23473440105518,146533000.0,8506000.0,Sedang,2000,Rendah,3000
M Padang Sederhan,-7.422772428590574,109.23345565718012,152960000.0,16518000.0,Sedang,2000,Tinggi,5000
Central Plastik,-7.42581040722048,109.23419037106308,90674500.0,10620000.0,Rendah,1000,Sedang,4000
Nusantara Sakti,-7.425702113362016,109.2322097718224,56644000.0,10832000.0,Rendah,1000,Sedang,4000
Toko Lik,-7.425380952767543,109.23190668220349,39249000.0,5024000.0,Rendah,1000,Rendah,3000
BRI Jensoed,-7.424386882786575,109.23143200422304,129290000.0,6572000.0,Sedang,2000,Rendah,3000
RM Mbok Sarun,-7.405672327137232,109.2264634750874,57187000.0,14884000.0,Rendah,1000,Sedang,4000
Buntos Chiken,-7.425087818510706,109.23272041709284,301918000.0,25606000.0,Tinggi,3000,Tinggi,5000
Sampurna Print,-7.425087870007716,109.23115116626856,205224000.0,10922000.0,Tinggi,3000,Sedang,4000
Yoshinoya,-7.425836887027497,109.23479159140304,173041000.0,16048000.0,Sedang,2000,Sedang,4000
Apotek Rahayu,-7.424838369847714,109.22957755092531,92135000.0,30798000.0,Rendah,1000,Tinggi,5000
Navagreen,-7.427571976076008,109.2390177337314,99653000.0,11780000.0,Rendah,1000,Sedang,4000
o PJAK dan Blangkon,-7.426203793049472,109.2355081951044,66403000.0,12462000.0,Rendah,1000,Sedang,4000
Plaza Cell-Alfatah,-7.426974742954052,109.2374239662686,114083000.0,12280000.0,Sedang,2000,Sedang,4000
Alfamart-Global Cell,-7.728327499793116,109.003641451071,218684000.0,29568000.0,Tinggi,3000,Tinggi,5000
haya Baru-Sakura Mo,-7.423386883561782,109.24269341721606,51744000.0,43752000.0,Rendah,1000,Tinggi,5000
Mandja,-7.417265568095789,109.2429716294042,33908000.0,6135000.0,Rendah,1000,Rendah,3000
Roti Roen,-7.427265487840088,109.2399694797612,32879000.0,10726000.0,Rendah,1000,Sedang,4000
Ruko Merdeka,-7.426625806200776,109.2365635315385,83501000.0,27040000.0,Rendah,1000,Tinggi,5000
Sae Niki,-7.421395723456859,109.22980505092534,61504000.0,28328000.0,Rendah,1000,Tinggi,5000
ur Prambanan & Yu,-7.425693548095778,109.23710716256724,30558000.0,15548000.0,Rendah,1000,Sedang,4000
Purimas 3,-7.415728537904377,109.23548262327988,67446000.0,19316000.0,Rendah,1000,Tinggi,5000
Bakso Telkom,-7.417090340263339,109.2389158507397,90146000.0,11986000.0,Rendah,1000,Sedang,4000
Alfamart Merdeka,-7.424796686435941,109.23725739140302,102030000.0,19710000.0,Rendah,1000,Tinggi,5000
Mi Ayam Marso,-7.423686069108851,109.23595180489556,99823000.0,12174000.0,Rendah,1000,Sedang,4000
Hero,-7.427525959636456,109.24320682023884,263357000.0,20956000.0,Tinggi,3000,Tinggi,5000
Happy Puppy,-7.426815154649406,109.24268002208956,591080000.0,25012000.0,Tinggi,3000,Tinggi,5000
Intisari,-7.4276729268744095,109.24279787605975,292266000.0,27716000.0,Tinggi,3000,Tinggi,5000
Meteor Caffe,-7.423812411996262,109.24386107536984,54956000.0,41912000.0,Rendah,1000,Tinggi,5000
